ComboInd1,Campaign_Name,Set_Sample_Number,Sample_Type,Growth_Method,Plant,Inoculated,Spiked,Inoc_Day,Harvest_Day,Inoc_Assay_Length,G1,G2,G3,G4
926R_inline18_IT009,G11 R10 _U,65,unattached sand,EcoFAB,Brachypodium,Yes,No,8S,29,21,unattached sand_EcoFAB_Brachypodium_Yes_8,unattached sand_EcoFAB_Brachypodium_Yes_21,unattached sand_EcoFAB_Brachypodium_Yes_8S_21,unattached sand_EcoFAB_Brachypodium_Yes_8S_29_21
926R_inline19_IT075,G11 R3 _A,119,Attached sand,EcoFAB,Brachypodium,Yes,No,8S,29,21,Attached sand_EcoFAB_Brachypodium_Yes_8,Attached sand_EcoFAB_Brachypodium_Yes_21,Attached sand_EcoFAB_Brachypodium_Yes_8S_21,Attached sand_EcoFAB_Brachypodium_Yes_8S_29_21
926R_inline18_IT044,G11 R3 _U,60,unattached sand,EcoFAB,Brachypodium,Yes,No,8S,29,21,unattached sand_EcoFAB_Brachypodium_Yes_8,unattached sand_EcoFAB_Brachypodium_Yes_21,unattached sand_EcoFAB_Brachypodium_Yes_8S_21,unattached sand_EcoFAB_Brachypodium_Yes_8S_29_21
926R_inline18_IT056,G11 R6 _U,61,unattached sand,EcoFAB,Brachypodium,Yes,No,8S,29,21,unattached sand_EcoFAB_Brachypodium_Yes_8,unattached sand_EcoFAB_Brachypodium_Yes_21,unattached sand_EcoFAB_Brachypodium_Yes_8S_21,unattached sand_EcoFAB_Brachypodium_Yes_8S_29_21
926R_inline19_IT004,G11 R7 _A,121,Attached sand,EcoFAB,Brachypodium,Yes,No,8S,29,21,Attached sand_EcoFAB_Brachypodium_Yes_8,Attached sand_EcoFAB_Brachypodium_Yes_21,Attached sand_EcoFAB_Brachypodium_Yes_8S_21,Attached sand_EcoFAB_Brachypodium_Yes_8S_29_21
926R_inline19_IT011,G11 R7 _R,177,Root,EcoFAB,Brachypodium,Yes,No,8S,29,21,Root_EcoFAB_Brachypodium_Yes_8,Root_EcoFAB_Brachypodium_Yes_21,Root_EcoFAB_Brachypodium_Yes_8S_21,Root_EcoFAB_Brachypodium_Yes_8S_29_21
926R_inline18_IT068,G11 R7 _U,62,unattached sand,EcoFAB,Brachypodium,Yes,No,8S,29,21,unattached sand_EcoFAB_Brachypodium_Yes_8,unattached sand_EcoFAB_Brachypodium_Yes_21,unattached sand_EcoFAB_Brachypodium_Yes_8S_21,unattached sand_EcoFAB_Brachypodium_Yes_8S_29_21
926R_inline19_IT016,G11 R8 _A,122,Attached sand,EcoFAB,Brachypodium,Yes,No,8S,29,21,Attached sand_EcoFAB_Brachypodium_Yes_8,Attached sand_EcoFAB_Brachypodium_Yes_21,Attached sand_EcoFAB_Brachypodium_Yes_8S_21,Attached sand_EcoFAB_Brachypodium_Yes_8S_29_21
926R_inline19_IT023,G11 R8 _R,178,Root,EcoFAB,Brachypodium,Yes,No,8S,29,21,Root_EcoFAB_Brachypodium_Yes_8,Root_EcoFAB_Brachypodium_Yes_21,Root_EcoFAB_Brachypodium_Yes_8S_21,Root_EcoFAB_Brachypodium_Yes_8S_29_21
926R_inline18_IT080,G11 R8 _U,63,unattached sand,EcoFAB,Brachypodium,Yes,No,8S,29,21,unattached sand_EcoFAB_Brachypodium_Yes_8,unattached sand_EcoFAB_Brachypodium_Yes_21,unattached sand_EcoFAB_Brachypodium_Yes_8S_21,unattached sand_EcoFAB_Brachypodium_Yes_8S_29_21
926R_inline19_IT028,G11 R9 _A,123,Attached sand,EcoFAB,Brachypodium,Yes,No,8S,29,21,Attached sand_EcoFAB_Brachypodium_Yes_8,Attached sand_EcoFAB_Brachypodium_Yes_21,Attached sand_EcoFAB_Brachypodium_Yes_8S_21,Attached sand_EcoFAB_Brachypodium_Yes_8S_29_21
926R_inline19_IT035,G11 R9 _R,179,Root,EcoFAB,Brachypodium,Yes,No,8S,29,21,Root_EcoFAB_Brachypodium_Yes_8,Root_EcoFAB_Brachypodium_Yes_21,Root_EcoFAB_Brachypodium_Yes_8S_21,Root_EcoFAB_Brachypodium_Yes_8S_29_21
926R_inline18_IT092,G11 R9 _U,64,unattached sand,EcoFAB,Brachypodium,Yes,No,8S,29,21,unattached sand_EcoFAB_Brachypodium_Yes_8,unattached sand_EcoFAB_Brachypodium_Yes_21,unattached sand_EcoFAB_Brachypodium_Yes_8S_21,unattached sand_EcoFAB_Brachypodium_Yes_8S_29_21
926R_inline18_IT021,G12 R1 _U,66,unattached sand,EcoFAB,None,Yes,No,0,21,21,unattached sand_EcoFAB_None_Yes_0,unattached sand_EcoFAB_None_Yes_21,unattached sand_EcoFAB_None_Yes_0_21,unattached sand_EcoFAB_None_Yes_0_21_21
926R_inline18_IT033,G12 R2 _U,67,unattached sand,EcoFAB,None,Yes,No,0,21,21,unattached sand_EcoFAB_None_Yes_0,unattached sand_EcoFAB_None_Yes_21,unattached sand_EcoFAB_None_Yes_0_21,unattached sand_EcoFAB_None_Yes_0_21_21
926R_inline18_IT045,G12 R3 _U,68,unattached sand,EcoFAB,None,Yes,No,0,21,21,unattached sand_EcoFAB_None_Yes_0,unattached sand_EcoFAB_None_Yes_21,unattached sand_EcoFAB_None_Yes_0_21,unattached sand_EcoFAB_None_Yes_0_21_21
926R_inline19_IT052,G13 R1 _A,125,Attached sand,EcoFAB,Brachypodium,No,No,N,29,21,Attached sand_EcoFAB_Brachypodium_No_0,Attached sand_EcoFAB_Brachypodium_No_21,Attached sand_EcoFAB_Brachypodium_No_N_21,Attached sand_EcoFAB_Brachypodium_No_N_29_21
926R_inline19_IT059,G13 R1 _R,181,Root,EcoFAB,Brachypodium,No,No,N,29,21,Root_EcoFAB_Brachypodium_No_0,Root_EcoFAB_Brachypodium_No_21,Root_EcoFAB_Brachypodium_No_N_21,Root_EcoFAB_Brachypodium_No_N_29_21
926R_inline18_IT057,G13 R1 un _U,69,unattached sand,EcoFAB,Brachypodium,No,No,N,29,21,unattached sand_EcoFAB_Brachypodium_No_0,unattached sand_EcoFAB_Brachypodium_No_21,unattached sand_EcoFAB_Brachypodium_No_N_21,unattached sand_EcoFAB_Brachypodium_No_N_29_21
